,年齢階級,運動習慣の有無,性別,歩行数,時間軸(年次),人数,割合
0,(再掲)20歳以上,有,女性,"10,000歩以上",2009年,178.0,23.9
1,(再掲)20歳以上,有,女性,"2,000歩-3,999歩",2009年,100.0,13.4
2,(再掲)20歳以上,有,女性,"2,000歩未満",2009年,48.0,6.4
3,(再掲)20歳以上,有,女性,"4,000歩-5,999歩",2009年,155.0,20.8
4,(再掲)20歳以上,有,女性,"6,000歩-7,999歩",2009年,137.0,18.4
5,(再掲)20歳以上,有,女性,"8,000歩-9,999歩",2009年,128.0,17.2
6,(再掲)20歳以上,有,女性,総数,2009年,746.0,100.0
7,(再掲)20歳以上,有,女性,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,282.0,37.8
8,(再掲)20歳以上,有,男性,"10,000歩以上",2009年,169.0,27.5
9,(再掲)20歳以上,有,男性,"2,000歩-3,999歩",2009年,94.0,15.3
10,(再掲)20歳以上,有,男性,"2,000歩未満",2009年,30.0,4.9
11,(再掲)20歳以上,有,男性,"4,000歩-5,999歩",2009年,106.0,17.3
12,(再掲)20歳以上,有,男性,"6,000歩-7,999歩",2009年,109.0,17.8
13,(再掲)20歳以上,有,男性,"8,000歩-9,999歩",2009年,106.0,17.3
14,(再掲)20歳以上,有,男性,総数,2009年,614.0,100.0
15,(再掲)20歳以上,有,男性,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,210.0,34.2
16,(再掲)20歳以上,有,総数,"10,000歩以上",2009年,347.0,25.5
17,(再掲)20歳以上,有,総数,"2,000歩-3,999歩",2009年,194.0,14.3
18,(再掲)20歳以上,有,総数,"2,000歩未満",2009年,78.0,5.7
19,(再掲)20歳以上,有,総数,"4,000歩-5,999歩",2009年,261.0,19.2
20,(再掲)20歳以上,有,総数,"6,000歩-7,999歩",2009年,246.0,18.1
21,(再掲)20歳以上,有,総数,"8,000歩-9,999歩",2009年,234.0,17.2
22,(再掲)20歳以上,有,総数,総数,2009年,1360.0,100.0
23,(再掲)20歳以上,有,総数,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,492.0,36.2
24,(再掲)20歳以上,無_その他,女性,"10,000歩以上",2009年,241.0,13.8
25,(再掲)20歳以上,無_その他,女性,"2,000歩-3,999歩",2009年,363.0,20.8
26,(再掲)20歳以上,無_その他,女性,"2,000歩未満",2009年,160.0,9.2
27,(再掲)20歳以上,無_その他,女性,"4,000歩-5,999歩",2009年,388.0,22.2
28,(再掲)20歳以上,無_その他,女性,"6,000歩-7,999歩",2009年,358.0,20.5
29,(再掲)20歳以上,無_その他,女性,"8,000歩-9,999歩",2009年,234.0,13.4
30,(再掲)20歳以上,無_その他,女性,総数,2009年,1744.0,100.0
31,(再掲)20歳以上,無_その他,女性,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,435.0,24.9
32,(再掲)20歳以上,無_その他,男性,"10,000歩以上",2009年,216.0,19.1
33,(再掲)20歳以上,無_その他,男性,"2,000歩-3,999歩",2009年,208.0,18.4
34,(再掲)20歳以上,無_その他,男性,"2,000歩未満",2009年,102.0,9.0
35,(再掲)20歳以上,無_その他,男性,"4,000歩-5,999歩",2009年,233.0,20.6
36,(再掲)20歳以上,無_その他,男性,"6,000歩-7,999歩",2009年,196.0,17.3
37,(再掲)20歳以上,無_その他,男性,"8,000歩-9,999歩",2009年,178.0,15.7
38,(再掲)20歳以上,無_その他,男性,総数,2009年,1133.0,100.0
39,(再掲)20歳以上,無_その他,男性,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,276.0,24.4
40,(再掲)20歳以上,無_その他,総数,"10,000歩以上",2009年,457.0,15.9
41,(再掲)20歳以上,無_その他,総数,"2,000歩-3,999歩",2009年,571.0,19.8
42,(再掲)20歳以上,無_その他,総数,"2,000歩未満",2009年,262.0,9.1
43,(再掲)20歳以上,無_その他,総数,"4,000歩-5,999歩",2009年,621.0,21.6
44,(再掲)20歳以上,無_その他,総数,"6,000歩-7,999歩",2009年,554.0,19.3
45,(再掲)20歳以上,無_その他,総数,"8,000歩-9,999歩",2009年,412.0,14.3
46,(再掲)20歳以上,無_その他,総数,総数,2009年,2877.0,100.0
47,(再掲)20歳以上,無_その他,総数,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,711.0,24.7
48,(再掲)20歳以上,無_健康上の理由,女性,"10,000歩以上",2009年,3.0,1.4
49,(再掲)20歳以上,無_健康上の理由,女性,"2,000歩-3,999歩",2009年,59.0,27.2
50,(再掲)20歳以上,無_健康上の理由,女性,"2,000歩未満",2009年,99.0,45.6
51,(再掲)20歳以上,無_健康上の理由,女性,"4,000歩-5,999歩",2009年,35.0,16.1
52,(再掲)20歳以上,無_健康上の理由,女性,"6,000歩-7,999歩",2009年,16.0,7.4
53,(再掲)20歳以上,無_健康上の理由,女性,"8,000歩-9,999歩",2009年,5.0,2.3
54,(再掲)20歳以上,無_健康上の理由,女性,総数,2009年,217.0,100.0
55,(再掲)20歳以上,無_健康上の理由,女性,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,7.0,3.2
56,(再掲)20歳以上,無_健康上の理由,男性,"10,000歩以上",2009年,7.0,6.1
57,(再掲)20歳以上,無_健康上の理由,男性,"2,000歩-3,999歩",2009年,30.0,26.3
58,(再掲)20歳以上,無_健康上の理由,男性,"2,000歩未満",2009年,50.0,43.9
59,(再掲)20歳以上,無_健康上の理由,男性,"4,000歩-5,999歩",2009年,12.0,10.5
60,(再掲)20歳以上,無_健康上の理由,男性,"6,000歩-7,999歩",2009年,11.0,9.6
61,(再掲)20歳以上,無_健康上の理由,男性,"8,000歩-9,999歩",2009年,4.0,3.5
62,(再掲)20歳以上,無_健康上の理由,男性,総数,2009年,114.0,100.0
63,(再掲)20歳以上,無_健康上の理由,男性,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,8.0,7.0
64,(再掲)20歳以上,無_健康上の理由,総数,"10,000歩以上",2009年,10.0,3.0
65,(再掲)20歳以上,無_健康上の理由,総数,"2,000歩-3,999歩",2009年,89.0,26.9
66,(再掲)20歳以上,無_健康上の理由,総数,"2,000歩未満",2009年,149.0,45.0
67,(再掲)20歳以上,無_健康上の理由,総数,"4,000歩-5,999歩",2009年,47.0,14.2
68,(再掲)20歳以上,無_健康上の理由,総数,"6,000歩-7,999歩",2009年,27.0,8.2
69,(再掲)20歳以上,無_健康上の理由,総数,"8,000歩-9,999歩",2009年,9.0,2.7
70,(再掲)20歳以上,無_健康上の理由,総数,総数,2009年,331.0,100.0
71,(再掲)20歳以上,無_健康上の理由,総数,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,15.0,4.5
72,(再掲)20歳以上,総数,女性,"10,000歩以上",2009年,422.0,15.6
73,(再掲)20歳以上,総数,女性,"2,000歩-3,999歩",2009年,522.0,19.3
74,(再掲)20歳以上,総数,女性,"2,000歩未満",2009年,307.0,11.3
75,(再掲)20歳以上,総数,女性,"4,000歩-5,999歩",2009年,578.0,21.4
76,(再掲)20歳以上,総数,女性,"6,000歩-7,999歩",2009年,511.0,18.9
77,(再掲)20歳以上,総数,女性,"8,000歩-9,999歩",2009年,367.0,13.6
78,(再掲)20歳以上,総数,女性,総数,2009年,2707.0,100.0
79,(再掲)20歳以上,総数,女性,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,724.0,26.7
80,(再掲)20歳以上,総数,男性,"10,000歩以上",2009年,392.0,21.1
81,(再掲)20歳以上,総数,男性,"2,000歩-3,999歩",2009年,332.0,17.8
82,(再掲)20歳以上,総数,男性,"2,000歩未満",2009年,182.0,9.8
83,(再掲)20歳以上,総数,男性,"4,000歩-5,999歩",2009年,351.0,18.9
84,(再掲)20歳以上,総数,男性,"6,000歩-7,999歩",2009年,316.0,17.0
