,年齢階級,回答（はい・いいえ）,性別,歩数を増やすことの意識,時間軸(年次),人数,平均値
0,20歳-29歳,いいえ,女性,あてはまるものがない,2010年,303.0,7096.0
1,20歳-29歳,いいえ,女性,家事でよく身体を動かすようにすれば増やせると思う,2010年,260.0,7267.0
2,20歳-29歳,いいえ,女性,意識的に歩くように心がければ増やせると思う,2010年,130.0,7252.0
3,20歳-29歳,いいえ,女性,時間がないから増やせないと思う,2010年,251.0,7001.0
4,20歳-29歳,いいえ,女性,歩くことが好きではないから増やせないと思う,2010年,294.0,7169.0
5,20歳-29歳,いいえ,女性,歩く場所がないから増やせないと思う,2010年,302.0,7077.0
6,20歳-29歳,いいえ,女性,現在、十分に歩いているから増やせないと思う,2010年,286.0,6869.0
7,20歳-29歳,いいえ,女性,病気など健康上の理由から増やせないと思う,2010年,307.0,7150.0
8,20歳-29歳,いいえ,女性,面倒だから増やせないと思う,2010年,271.0,7143.0
9,20歳-29歳,いいえ,男性,あてはまるものがない,2010年,262.0,8356.0
10,20歳-29歳,いいえ,男性,家事でよく身体を動かすようにすれば増やせると思う,2010年,261.0,8285.0
11,20歳-29歳,いいえ,男性,意識的に歩くように心がければ増やせると思う,2010年,110.0,8234.0
12,20歳-29歳,いいえ,男性,時間がないから増やせないと思う,2010年,244.0,8472.0
13,20歳-29歳,いいえ,男性,歩くことが好きではないから増やせないと思う,2010年,260.0,8435.0
14,20歳-29歳,いいえ,男性,歩く場所がないから増やせないと思う,2010年,270.0,8366.0
15,20歳-29歳,いいえ,男性,現在、十分に歩いているから増やせないと思う,2010年,234.0,7829.0
16,20歳-29歳,いいえ,男性,病気など健康上の理由から増やせないと思う,2010年,270.0,8397.0
17,20歳-29歳,いいえ,男性,面倒だから増やせないと思う,2010年,245.0,8538.0
18,20歳-29歳,いいえ,総数,あてはまるものがない,2010年,565.0,7680.0
19,20歳-29歳,いいえ,総数,家事でよく身体を動かすようにすれば増やせると思う,2010年,521.0,7777.0
20,20歳-29歳,いいえ,総数,意識的に歩くように心がければ増やせると思う,2010年,240.0,7702.0
21,20歳-29歳,いいえ,総数,時間がないから増やせないと思う,2010年,495.0,7726.0
22,20歳-29歳,いいえ,総数,歩くことが好きではないから増やせないと思う,2010年,554.0,7763.0
23,20歳-29歳,いいえ,総数,歩く場所がないから増やせないと思う,2010年,572.0,7686.0
24,20歳-29歳,いいえ,総数,現在、十分に歩いているから増やせないと思う,2010年,520.0,7301.0
