,年齢階級,性別,時間軸(年次),人数,平均値,標準偏差
126,20歳-29歳,総数,2009年,624.0,8586.0,6390.0
127,20歳-29歳,総数,2012年,2003.0,7459.0,4612.0
128,20歳-29歳,総数,2013年,531.0,7704.0,4607.0
129,20歳-29歳,総数,2014年,457.0,7452.0,4802.0
130,20歳-29歳,総数,2015年,465.0,8017.0,4645.0
131,20歳-29歳,総数,2016年,1386.0,7959.0,4693.0
132,20歳-29歳,総数,2017年,374.0,7330.0,4300.0
133,20歳-29歳,総数,2018年,410.0,7332.0,4322.0
134,20歳-29歳,総数,2019年,327.0,7433.0,4926.0
153,30歳-39歳,総数,2009年,1016.0,7632.0,4291.0
154,30歳-39歳,総数,2012年,3411.0,7288.0,4029.0
155,30歳-39歳,総数,2013年,752.0,7545.0,4484.0
156,30歳-39歳,総数,2014年,734.0,7428.0,4372.0
157,30歳-39歳,総数,2015年,652.0,7418.0,3983.0
158,30歳-39歳,総数,2016年,2416.0,7257.0,4049.0
159,30歳-39歳,総数,2017年,590.0,7202.0,4433.0
160,30歳-39歳,総数,2018年,634.0,7158.0,4034.0
161,30歳-39歳,総数,2019年,426.0,7401.0,4263.0
180,40歳-49歳,総数,2009年,1093.0,7769.0,4130.0
181,40歳-49歳,総数,2012年,3667.0,7345.0,3971.0
182,40歳-49歳,総数,2013年,912.0,7549.0,4144.0
183,40歳-49歳,総数,2014年,989.0,7324.0,4273.0
184,40歳-49歳,総数,2015年,1006.0,7272.0,3989.0
185,40歳-49歳,総数,2016年,3224.0,7279.0,3826.0
186,40歳-49歳,総数,2017年,919.0,7235.0,4077.0
187,40歳-49歳,総数,2018年,861.0,7211.0,3974.0
188,40歳-49歳,総数,2019年,720.0,7240.0,4361.0
207,50歳-59歳,総数,2009年,1210.0,7521.0,4033.0
208,50歳-59歳,総数,2012年,3871.0,7354.0,3915.0
209,50歳-59歳,総数,2013年,930.0,7405.0,4040.0
210,50歳-59歳,総数,2014年,994.0,7309.0,4002.0
211,50歳-59歳,総数,2015年,929.0,7501.0,4300.0
212,50歳-59歳,総数,2016年,3097.0,7136.0,3508.0
213,50歳-59歳,総数,2017年,825.0,7219.0,4050.0
214,50歳-59歳,総数,2018年,875.0,7229.0,4407.0
215,50歳-59歳,総数,2019年,746.0,7256.0,4369.0
234,60歳-69歳,総数,2009年,1461.0,6642.0,4053.0
235,60歳-69歳,総数,2012年,5536.0,6955.0,4017.0
236,60歳-69歳,総数,2013年,1368.0,6638.0,3756.0
237,60歳-69歳,総数,2014年,1511.0,6619.0,3931.0
238,60歳-69歳,総数,2015年,1328.0,6823.0,4138.0
239,60歳-69歳,総数,2016年,4739.0,6430.0,3312.0
240,60歳-69歳,総数,2017年,1142.0,6268.0,3760.0
241,60歳-69歳,総数,2018年,1139.0,6314.0,3560.0
242,60歳-69歳,総数,2019年,992.0,6290.0,3988.0
